Star1_ID,Star2_ID,AngularSeparation_rad
46390,93805,0.164808685
63608,113963,0.164840826
55219,92420,0.164920912
62956,87833,0.165006902
32759,108085,0.165116706
23015,109176,0.165297013
21281,45101,0.165545503
2081,73807,0.16566308
15900,49583,0.16569785
62434,85258,0.16580851
49841,114341,0.165892784
28103,105881,0.166136179
48002,50099,0.166275072
26727,77070,0.166709413
78384,112122,0.166893478
68702,83081,0.167155223
68895,75177,0.167381929
46853,87833,0.167393736
71860,71865,0.167553606
22549,98036,0.167665144
30438,88714,0.167677457
62322,74946,0.167823182
80170,113881,0.167833769
40526,109074,0.168250391
2081,67472,0.168264565
57632,101769,0.168291521
27321,85727,0.168399881
68002,74376,0.168416868
50371,60260,0.168523086
86670,95347,0.168587247
33579,75177,0.168647459
3092,83207,0.168675405
17358,63125,0.168688693
45080,71536,0.168874111
14354,102098,0.169033282
45860,104060,0.16914732
27072,106985,0.169560396
67927,76276,0.169696668
51576,99240,0.169696814
9884,71795,0.169902239
62434,85267,0.169934111
8903,95947,0.169947293
55219,113726,0.170017389
45336,101421,0.170131756
37819,87073,0.170293278
38827,71536,0.17035289
32759,82545,0.170543244
88771,101769,0.170687914
9236,42536,0.170722561
69673,113881,0.170876441
7607,81833,0.17089079
38827,71681,0.170964799
8903,18724,0.170972841
24608,100453,0.171049171
26069,30438,0.171129684
42913,45080,0.171184356
30343,67927,0.171236275
59316,78104,0.171266139
37279,43813,0.17152771
67472,90422,0.17163294
8645,60129,0.171706224
45101,61199,0.171742484
55282,61359,0.171930049
7588,45101,0.171939812
103413,113726,0.171959153
41312,45556,0.171993643
30438,101772,0.172055617
46701,56561,0.172240853
44127,91262,0.172311193
27321,71352,0.17237196
33977,89931,0.172408976
63003,85792,0.172602838
15900,63608,0.172611414
50583,98337,0.172886788
38827,71683,0.172959541
42570,73273,0.173052036
45101,61084,0.173102745
36850,113881,0.173211553
21393,90185,0.173341021
72105,84379,0.17338794
76470,82545,0.173427539
9007,44511,0.173446781
34444,61359,0.173503394
61359,84012,0.173615346
22449,98036,0.173689373
20455,26451,0.173815641
33977,77634,0.173927637
4427,97433,0.173954879
30438,47854,0.174033645
35264,68282,0.17408929
7607,9640,0.174348105
43813,57757,0.174541162
32768,95347,0.174599885
72622,84970,0.174724853
49583,84379,0.174813377
77634,89931,0.174908993
74376,86670,0.175012254
42536,48774,0.175039038
33579,81266,0.175194552
5165,75141,0.175237326
83895,105199,0.175264945
31685,77634,0.175575593
73334,85696,0.176054918
95168,105881,0.176115936
32362,113963,0.176152789
17678,99240,0.176169785
26311,97649,0.176206319
2920,48319,0.176215311
42913,109268,0.176268437
37740,112748,0.176333792
45941,48002,0.176500649
3092,8903,0.176508332
68895,89642,0.176536853
16537,24305,0.176566778
9640,17448,0.176629235
93805,114971,0.176702828
46701,60823,0.176826271
27288,64962,0.176832063
14328,28358,0.176835837
2072,67464,0.176848616
86263,90496,0.177116684
49669,51624,0.177134003
68002,82514,0.177198202
3821,67301,0.177284118
52727,100751,0.177514169
31685,65109,0.177630923
4427,106032,0.177647775
31685,42828,0.177751783
39429,88714,0.177758761
19780,82363,0.177912931
37740,76952,0.177934855
24436,74785,0.178031386
95853,102422,0.178158314
42536,60718,0.178215609
3179,44471,0.178564985
17448,29655,0.178601198
97278,112029,0.178717802
17573,53229,0.178856835
45941,68282,0.178946109
73273,75264,0.179029811
677,28380,0.17907118
83081,102395,0.179077387
10064,97165,0.179122142
5348,56561,0.179191706
71865,78104,0.179236227
38827,103227,0.17945993
74376,95347,0.179575042
76267,84380,0.179820187
46651,89642,0.179929664
48319,56211,0.180094111
97649,110395,0.180099506
27654,107556,0.180101804
51232,103227,0.180206162
51576,63613,0.180470177
75458,87833,0.180479313
41704,97433,0.180490082
76276,84345,0.180498513
53229,103413,0.180510982
19780,59449,0.180649011
38414,73273,0.180681593
19343,63125,0.180761759
36377,71352,0.18092397
31685,38414,0.180962873
45556,71908,0.181014322
51069,88048,0.181060349
63090,77622,0.181150402
65109,109268,0.18123528
95501,106278,0.181416693
47508,113963,0.181444134
23685,30122,0.181594568
25281,109427,0.181653518
63003,100751,0.181706159
10064,92862,0.181883895
34481,77952,0.181909419
6867,39953,0.181922731
68895,68933,0.182042423
15474,51069,0.182129617
102618,112961,0.182281606
32246,69673,0.182504792
67301,109492,0.18264047
39757,80763,0.182665655
8102,71957,0.182760167
15900,51624,0.182865161
76297,101772,0.183174261
72607,112724,0.183635085
41037,45238,0.183652097
55282,59316,0.183668726
13268,87833,0.183675984
68933,75264,0.183765591
5348,60823,0.183792693
7097,50583,0.183972269
14328,58001,0.184236261
80170,113963,0.18424525
17499,29655,0.184287095
42913,103227,0.18430006
16083,72220,0.184358865
74376,101772,0.184535299
9640,19343,0.184539864
14879,38170,0.184568862
3419,27072,0.184587972
75695,81833,0.184669621
4436,88794,0.184691335
20455,35350,0.184738034
18724,114971,0.185163323
61084,85792,0.185239441
95241,112122,0.185298042
17678,61199,0.1853129
82514,101772,0.185390912
42536,56561,0.185454444
27072,68895,0.185742989
82396,92855,0.185782962
69996,88714,0.185920897
66249,106278,0.186045424
25985,93085,0.186167629
20042,95241,0.186179485
92420,113726,0.186237374
17499,92420,0.186371833
7588,85792,0.186382188
47854,74395,0.186439034
25985,37229,0.186480598
41704,106032,0.186638854
24674,93805,0.186676607
17529,67301,0.186720888
57757,61941,0.186877614
6867,87073,0.186960946
8102,78265,0.187125157
5348,75264,0.187441224
25985,78401,0.18744785
27628,73714,0.187602972
41037,45101,0.187842291
99675,104060,0.187870877
17702,71795,0.187960959
17448,17499,0.187999044
64962,113368,0.188003614
37229,114341,0.188194638
42570,46701,0.188214497
59803,76470,0.188268781
21393,27654,0.188360942
75695,87933,0.188406853
8645,100064,0.188439481
17678,61585,0.188585688
74376,82545,0.188596137
3179,24608,0.188930887
67927,101769,0.189049584
61932,95241,0.189080649
83895,94376,0.189231097
